year(rtime_ssp5),Tann,dt
1941,299.95169681330725,1941
1942,299.5836038814249,1942
1943,299.93128468934134,1943
1944,299.982548183865,1944
1945,299.96533357254185,1945
1946,299.46687342582726,1946
1947,299.3725714892249,1947
1948,299.99384762542417,1948
1949,300.30838102604,1949
1950,299.55216990255747,1950
1951,299.4256424566712,1951
1952,299.7659524731363,1952
1953,299.99479626485396,1953
1954,299.9024075851697,1954
1955,299.67689159663036,1955
1956,299.69350489863643,1956
1957,299.6920495595194,1957
1958,299.9166099214393,1958
1959,299.79528967860574,1959
1960,299.8131755738949,1960
1961,299.89487082227714,1961
1962,299.9299518829243,1962
1963,299.79004700015287,1963
1964,299.3335619582873,1964
1965,299.8781872116757,1965
1966,299.7154494263106,1966
1967,300.10783602011327,1967
1968,300.09448827878396,1968
1969,299.26630645649203,1969
1970,299.52138383139663,1970
1971,299.5294704244594,1971
1972,300.2661718760275,1972
1973,299.85377836387966,1973
1974,299.3574095960418,1974
1975,299.50791489315355,1975
1976,300.00748700485485,1976
1977,299.3049973767213,1977
1978,300.0591433489764,1978
1979,300.51593099780354,1979
1980,300.39909578573827,1980
1981,299.6317586160268,1981
1982,299.3983163544626,1982
1983,299.7267188126792,1983
1984,300.15075645061455,1984
1985,300.5749977445763,1985
1986,299.98697590426565,1986
1987,299.65337068705446,1987
1988,299.6014950684827,1988
1989,299.92423510310624,1989
1990,299.94618666934645,1990
1991,300.0861273614646,1991
1992,299.9869680179891,1992
1993,299.6197598903669,1993
1994,299.76341468477085,1994
1995,300.060266231447,1995
1996,300.2079789389665,1996
1997,299.6364559597439,1997
1998,300.2985781017779,1998
1999,300.5371529421822,1999
2000,299.78397197273847,2000
2001,299.6718030216718,2001
2002,300.035368460196,2002
2003,300.4919226803764,2003
2004,300.49959379253966,2004
2005,300.5717116076537,2005
2006,299.83318210691715,2006
2007,300.0381729177353,2007
2008,300.185501381203,2008
2009,300.54034082175104,2009
2010,300.68896009143356,2010
2011,300.0540215848672,2011
2012,299.82047343655466,2012
2013,300.22268034552883,2013
2014,300.85955176048407,2014
2015,300.8396945272632,2015
2016,300.02564748128253,2016
2017,299.82472413958925,2017
2018,300.5239057187681,2018
2019,300.52014679057834,2019
2020,300.63449993197764,2020
2021,300.53875539760395,2021
2022,300.1293732614228,2022
2023,300.5649804779978,2023
2024,300.9366419114649,2024
2025,300.3195825441919,2025
2026,300.0548350273158,2026
2027,300.2395607790963,2027
2028,301.1006259083346,2028
2029,301.19122489132866,2029
2030,300.2932313347505,2030
2031,300.0226113418939,2031
2032,300.7341262354995,2032
2033,301.2598667337437,2033
2034,300.78546717993737,2034
2035,300.51462773281315,2035
2036,300.3653527462121,2036
2037,301.16092232341316,2037
2038,301.36840401594884,2038
2039,300.29684363471137,2039
2040,300.3587916210444,2040
2041,300.6140548500549,2041
2042,301.56649376968744,2042
2043,301.62951261989195,2043
2044,300.5238970104693,2044
2045,300.7113907425492,2045
2046,301.71864706739433,2046
2047,301.449578641641,2047
2048,300.9281489054362,2048
2049,300.88537384444214,2049
2050,301.1531012178672,2050
2051,301.7298267505787,2051
2052,301.9624707514188,2052
2053,300.7580658626878,2053
2054,300.4583243424644,2054
2055,301.47932064171994,2055
2056,301.90211846451166,2056
2057,301.771875683306,2057
2058,301.5027014221808,2058
2059,301.4033984559955,2059
2060,301.90605795503865,2060
2061,302.54329249834774,2061
2062,301.5183134239531,2062
2063,301.36878504897606,2063
2064,301.6695769852661,2064
2065,302.3730784971706,2065
